Block,Power,Scale_Hz,P1_Latency,P2_Latency,P3_Latency,SNR,Computer_Label,Computer_Reason,Human_Label,Human_Reason,Observer_ID,Review_Confidence,File name,Species
60 s,7.312449690516959e-05,13.454342644059432,48.0,72.0,96.0,12.386137279879382,1,Passed,1,,MAX,2,,Coho salmon
120 s,3.464752500069928e-05,13.454342644059432,44.0,72.0,96.0,9.309785890659676,1,Passed,1,,MAX,2,,Coho salmon
180 s,4.159972561993075e-06,13.454342644059432,40.0,68.0,96.0,9.9987283932884,1,Passed,1,,MAX,2,,Coho salmon
240 s,3.0259920471031605e-07,12.337686603263526,40.0,60.0,84.0,3.2129763917492737,1,Passed,1,,MAX,2,,Coho salmon
300 s (114/120),9.652143847345373e-08,12.337686603263526,60.0,156.0,180.0,4.723562896717198,0,Failed,0,,MAX,2,,Coho salmon
60 s,7.312449690516959e-05,13.454342644059432,48.0,72.0,96.0,12.386137279879382,1,Passed,1,,MAX,2,,Coho salmon
120 s,3.464752500069928e-05,13.454342644059432,44.0,72.0,96.0,9.309785890659676,1,Passed,1,,MAX,2,,Coho salmon
180 s,4.159972561993075e-06,13.454342644059432,40.0,68.0,96.0,9.9987283932884,1,Passed,1,,MAX,2,,Coho salmon
240 s,3.0259920471031605e-07,12.337686603263526,40.0,60.0,84.0,3.2129763917492737,1,Passed,1,,MAX,2,,Coho salmon
300 s (114/120),9.652143847345373e-08,12.337686603263526,60.0,156.0,180.0,4.723562896717198,0,Failed,1,,MAX,2,,Coho salmon
60 s,7.312449690516959e-05,13.454342644059432,48.0,72.0,96.0,12.386137279879382,1,Passed,0,,MAX,2,,Coho salmon
120 s,3.464752500069928e-05,13.454342644059432,44.0,72.0,96.0,9.309785890659676,1,Passed,0,,MAX,2,,Coho salmon
180 s,4.159972561993075e-06,13.454342644059432,40.0,68.0,96.0,9.9987283932884,1,Passed,0,,MAX,2,,Coho salmon
240 s,3.0259920471031605e-07,12.337686603263526,40.0,60.0,84.0,3.2129763917492737,1,Passed,0,,MAX,2,,Coho salmon
300 s (114/120),9.652143847345373e-08,12.337686603263526,60.0,156.0,180.0,4.723562896717198,0,Failed,0,,MAX,2,,Coho salmon
60 s,7.312449690516959e-05,13.454342644059432,48.0,72.0,96.0,12.386137279879382,1,Passed,1,,MAX,2,,Coho salmon
120 s,3.464752500069928e-05,13.454342644059432,44.0,72.0,96.0,9.309785890659676,1,Passed,1,,MAX,2,,Coho salmon
180 s,4.159972561993075e-06,13.454342644059432,40.0,68.0,96.0,9.9987283932884,1,Passed,1,,MAX,2,,Coho salmon
240 s,3.0259920471031605e-07,12.337686603263526,40.0,60.0,84.0,3.2129763917492737,1,Passed,1,,MAX,2,,Coho salmon
300 s (114/120),9.652143847345373e-08,12.337686603263526,60.0,156.0,180.0,4.723562896717198,0,Failed,1,,MAX,2,,Coho salmon
60 s,7.312449690516959e-05,13.454342644059432,48.0,72.0,96.0,12.386137279879382,1,Passed,1,,MAX,2,,Coho salmon
120 s,3.464752500069928e-05,13.454342644059432,44.0,72.0,96.0,9.309785890659676,1,Passed,1,,MAX,2,,Coho salmon
180 s,4.159972561993075e-06,13.454342644059432,40.0,68.0,96.0,9.9987283932884,1,Passed,1,,MAX,2,,Coho salmon
240 s,3.0259920471031605e-07,12.337686603263526,40.0,60.0,84.0,3.2129763917492737,1,Passed,1,,MAX,2,,Coho salmon
300 s (114/120),9.652143847345373e-08,12.337686603263526,60.0,156.0,180.0,4.723562896717198,0,Failed,0,,MAX,2,,Coho salmon
60 s,7.312449690516959e-05,13.454342644059432,48.0,72.0,96.0,12.386137279879382,1,Passed,1,,MAX,2,,Coho salmon
120 s,3.464752500069928e-05,13.454342644059432,44.0,72.0,96.0,9.309785890659676,1,Passed,1,,MAX,2,,Coho salmon
180 s,4.159972561993075e-06,13.454342644059432,40.0,68.0,96.0,9.9987283932884,1,Passed,1,,MAX,2,,Coho salmon
240 s,3.0259920471031605e-07,12.337686603263526,40.0,60.0,84.0,3.2129763917492737,1,Passed,1,,MAX,2,,Coho salmon
300 s (114/120),9.652143847345373e-08,12.337686603263526,60.0,156.0,180.0,4.723562896717198,0,Failed,0,,MAX,2,,Coho salmon
60 s,7.312449690516959e-05,13.454342644059432,48.0,72.0,96.0,12.386137279879382,1,Passed,0,,MAX,2,,Coho salmon
120 s,3.464752500069928e-05,13.454342644059432,44.0,72.0,96.0,9.309785890659676,1,Passed,0,,MAX,2,,Coho salmon
180 s,4.159972561993075e-06,13.454342644059432,40.0,68.0,96.0,9.9987283932884,1,Passed,0,,MAX,2,,Coho salmon
240 s,3.0259920471031605e-07,12.337686603263526,40.0,60.0,84.0,3.2129763917492737,1,Passed,0,,MAX,2,,Coho salmon
300 s (114/120),9.652143847345373e-08,12.337686603263526,60.0,156.0,180.0,4.723562896717198,0,Failed,0,,MAX,2,,Coho salmon
60 s,7.727666579153243e-07,10.374716437208075,20.0,40.0,60.0,8.424326958800107,1,Passed,1,,MAX,2,,Coho salmon
120 s,1.3990720038989422e-06,10.374716437208075,20.0,40.0,60.0,9.691142898443742,1,Passed,1,,MAX,2,,Coho salmon
180 s,1.0072807143217088e-06,11.814609167515997,20.0,44.0,64.0,5.994402138691499,1,Passed,1,,MAX,2,,Coho salmon
240 s (119/120),9.920040686764055e-07,12.337686603263526,24.0,48.0,68.0,8.925826708550114,1,Passed,1,,MAX,2,,Coho salmon
60 s,1.1930552083096806e-05,15.32165249117718,44.0,112.0,136.0,3.475798918565128,1,Passed,1,,MAX,2,,Coho salmon
120 s,1.0398046414023205e-05,14.67206469127474,80.0,104.0,128.0,1.8963155393166504,1,Passed,1,,MAX,2,,Coho salmon
180 s,5.557555512680562e-06,16.70838051883862,20.0,108.0,180.0,1.2505600737600249,0,Failed,0,,MAX,2,,Coho salmon
240 s,5.334261204083209e-06,13.454342644059432,136.0,164.0,188.0,4.216867406759092,0,Failed,0,,MAX,2,,Coho salmon
300 s,4.954593995114683e-06,15.32165249117718,20.0,112.0,156.0,0.7919863317675698,0,Failed,0,,MAX,2,,Coho salmon
60 s,47.547452610199066,12.883922655594034,44.0,68.0,92.0,2.857952612425644,1,Passed,1,,MAX,2,,Coho salmon
120 s,133.14949110546027,10.83404437549514,48.0,68.0,92.0,16.377484313035502,1,Passed,1,,MAX,2,,Coho salmon
180 s,136.61080074468487,10.83404437549514,48.0,68.0,92.0,8.08700921334347,1,Passed,1,,MAX,2,,Coho salmon
240 s,105.07125157265232,10.83404437549514,48.0,68.0,88.0,7.088328362321323,1,Passed,1,,MAX,2,,Coho salmon
300 s,92.83790693123564,10.374716437208075,48.0,68.0,88.0,7.247921363458253,1,Passed,1,,MAX,2,,Coho salmon
360 s,78.00633161697652,10.374716437208075,48.0,68.0,88.0,4.660117176950436,1,Passed,1,,MAX,2,,Coho salmon
420 s,76.91826646385064,10.374716437208075,48.0,68.0,88.0,5.1758564716831055,1,Passed,1,,MAX,2,,Coho salmon
480 s,76.78267324485752,10.374716437208075,48.0,68.0,88.0,5.155283680049004,1,Passed,1,,MAX,2,,Coho salmon
540 s,87.34049806332342,10.374716437208075,44.0,68.0,88.0,5.151983042022505,1,Passed,1,,MAX,2,,Coho salmon
600 s (119/120),88.98773919536032,10.374716437208075,44.0,68.0,88.0,5.300746242351557,1,Passed,1,,MAX,2,,Coho salmon
60 s,47.547452610199066,12.883922655594034,44.0,68.0,92.0,2.857952612425644,1,Passed,1,,MAX,2,,Coho salmon
120 s,133.14949110546027,10.83404437549514,48.0,68.0,92.0,16.377484313035502,1,Passed,1,,MAX,2,,Coho salmon
180 s,136.61080074468487,10.83404437549514,48.0,68.0,92.0,8.08700921334347,1,Passed,1,,MAX,2,,Coho salmon
240 s,105.07125157265232,10.83404437549514,48.0,68.0,88.0,7.088328362321323,1,Passed,1,,MAX,2,,Coho salmon
300 s,92.83790693123564,10.374716437208075,48.0,68.0,88.0,7.247921363458253,1,Passed,1,,MAX,2,,Coho salmon
360 s,78.00633161697652,10.374716437208075,48.0,68.0,88.0,4.660117176950436,1,Passed,1,,MAX,2,,Coho salmon
420 s,76.91826646385064,10.374716437208075,48.0,68.0,88.0,5.1758564716831055,1,Passed,1,,MAX,2,,Coho salmon
480 s,76.78267324485752,10.374716437208075,48.0,68.0,88.0,5.155283680049004,1,Passed,1,,MAX,2,,Coho salmon
540 s,87.34049806332342,10.374716437208075,44.0,68.0,88.0,5.151983042022505,1,Passed,1,,MAX,2,,Coho salmon
600 s (119/120),88.98773919536032,10.374716437208075,44.0,68.0,88.0,5.300746242351557,1,Passed,1,,MAX,2,,Coho salmon
60 s,7.312449690516959e-05,13.454342644059432,48.0,72.0,96.0,12.386137279879382,1,Passed,1,,MAX,2,,Coho salmon
120 s,3.464752500069928e-05,13.454342644059432,44.0,72.0,96.0,9.309785890659676,1,Passed,1,,MAX,2,,Coho salmon
180 s,4.159972561993075e-06,13.454342644059432,40.0,68.0,96.0,9.9987283932884,1,Passed,1,,MAX,2,,Coho salmon
240 s,3.0259920471031605e-07,12.337686603263526,40.0,60.0,84.0,3.2129763917492737,1,Passed,1,,MAX,2,,Coho salmon
300 s (114/120),9.652143847345373e-08,12.337686603263526,60.0,156.0,180.0,4.723562896717198,0,Failed,0,,MAX,2,,Coho salmon
60 s,7.312449690516959e-05,13.454342644059432,48.0,72.0,96.0,12.386137279879382,1,Passed,1,,MAX,2,,Coho salmon
120 s,3.464752500069928e-05,13.454342644059432,44.0,72.0,96.0,9.309785890659676,1,Passed,1,,MAX,2,,Coho salmon
180 s,4.159972561993075e-06,13.454342644059432,40.0,68.0,96.0,9.9987283932884,1,Passed,1,,MAX,2,,Coho salmon
240 s,3.0259920471031605e-07,12.337686603263526,40.0,60.0,84.0,3.2129763917492737,1,Passed,1,,MAX,2,,Coho salmon
300 s (114/120),9.652143847345373e-08,12.337686603263526,60.0,156.0,180.0,4.723562896717198,0,Failed,0,,MAX,2,,Coho salmon
60 s,7.312449690516959e-05,13.454342644059432,48.0,72.0,96.0,19.12158785682885,1,Passed,1,,MAX,2,,Coho salmon
120 s,3.464752500069928e-05,13.454342644059432,44.0,72.0,96.0,15.239410082118114,1,Passed,1,,MAX,2,,Coho salmon
180 s,4.159972561993075e-06,13.454342644059432,40.0,68.0,96.0,12.940188360787175,1,Passed,1,,MAX,2,,Coho salmon
240 s,3.0259920471031605e-07,12.337686603263526,40.0,60.0,84.0,2.9815897735417805,1,Passed,1,,MAX,2,,Coho salmon
300 s (114/120),9.652143847345373e-08,12.337686603263526,60.0,156.0,180.0,4.995827087545877,0,"Failed: Minimum Power, P2 Latency, Peak Structure",0,,MAX,2,,Coho salmon
60 s,7.312449690516959e-05,13.454342644059432,48.0,72.0,96.0,19.12158785682885,1,Passed,1,,MAX,2,,Coho salmon
120 s,3.464752500069928e-05,13.454342644059432,44.0,72.0,96.0,15.239410082118114,1,Passed,1,,MAX,2,,Coho salmon
180 s,4.159972561993075e-06,13.454342644059432,40.0,68.0,96.0,12.940188360787175,1,Passed,1,,MAX,2,,Coho salmon
240 s,3.0259920471031605e-07,12.337686603263526,40.0,60.0,84.0,2.9815897735417805,1,Passed,1,,MAX,2,,Coho salmon
300 s (114/120),9.652143847345373e-08,12.337686603263526,60.0,156.0,180.0,4.995827087545877,0,"Failed:
Minimum Power
P2 Latency
Peak Structure",0,,MAX,2,,Coho salmon
60 s,1231131.0058868595,16.0,16.0,48.0,76.0,2.0613098290376324,1,Passed,1,,MAX,2,,Coho salmon
120 s,1154144.991849742,16.70838051883862,16.0,48.0,76.0,2.1037512705963533,1,Passed,1,,MAX,2,,Coho salmon
180 s,1120002.7159655655,16.70838051883862,16.0,48.0,76.0,2.055748533796408,1,Passed,1,,MAX,2,,Coho salmon
240 s,1195065.6897518863,16.70838051883862,16.0,48.0,76.0,2.0319196330282625,1,Passed,1,,MAX,2,,Coho salmon
300 s,1144932.106160801,16.70838051883862,16.0,48.0,76.0,2.0954517683439664,1,Passed,1,,MAX,2,,Coho salmon
360 s,1261516.0180828702,16.0,16.0,48.0,76.0,2.1465840646849115,1,Passed,1,,MAX,2,,Coho salmon
420 s,1167877.734155606,16.70838051883862,16.0,48.0,76.0,2.068436971075764,1,Passed,1,,MAX,2,,Coho salmon
480 s,1172001.8415226662,16.70838051883862,16.0,48.0,76.0,2.041975276004573,1,Passed,1,,MAX,2,,Coho salmon
540 s,1155525.346150947,16.70838051883862,16.0,48.0,76.0,2.106348950154999,1,Passed,1,,MAX,2,,Coho salmon
600 s,1129023.5528865345,16.70838051883862,16.0,48.0,76.0,2.0970690834087518,1,Passed,1,,MAX,2,,Coho salmon
60 s,1230932.9615002023,16.0,16.0,48.0,76.0,2.095721966062223,1,Passed,1,,MAX,2,,Coho salmon
120 s,1077301.960984266,16.70838051883862,16.0,52.0,76.0,2.0457743673223847,1,Passed,1,,MAX,2,,Coho salmon
180 s,1199289.235541255,16.70838051883862,16.0,48.0,76.0,2.0643805248709364,1,Passed,1,,MAX,2,,Coho salmon
240 s,1157840.0588388047,16.70838051883862,16.0,48.0,76.0,2.077573258433332,1,Passed,1,,MAX,2,,Coho salmon
300 s,1243349.0912103492,16.70838051883862,16.0,48.0,76.0,2.008746851120652,1,Passed,1,,MAX,2,,Coho salmon
360 s,1174246.4977419334,16.70838051883862,16.0,52.0,76.0,2.065737792465431,1,Passed,1,,MAX,2,,Coho salmon
420 s,1218395.4032426598,16.70838051883862,16.0,48.0,76.0,2.013360244807697,1,Passed,1,,MAX,2,,Coho salmon
480 s,1165681.775961332,16.70838051883862,16.0,48.0,76.0,2.091025492375585,1,Passed,1,,MAX,2,,Coho salmon
540 s,1089423.8047738809,16.70838051883862,16.0,52.0,76.0,2.109456917443409,1,Passed,1,,MAX,2,,Coho salmon
600 s,1135569.395796174,16.70838051883862,16.0,48.0,76.0,2.1525486770295004,1,Passed,1,,MAX,2,,Coho salmon
60 s,7.312449690516959e-05,13.454342644059432,48.0,72.0,96.0,19.12158785682885,1,Passed,1,,MAX,2,,Coho salmon
120 s,3.464752500069928e-05,13.454342644059432,44.0,72.0,96.0,15.239410082118114,1,Passed,1,,MAX,2,,Coho salmon
180 s,4.159972561993075e-06,13.454342644059432,40.0,68.0,96.0,12.940188360787175,1,Passed,1,,MAX,2,,Coho salmon
240 s,3.0259920471031605e-07,12.337686603263526,40.0,60.0,84.0,2.9815897735417805,1,Passed,1,,MAX,2,,Coho salmon
300 s (114/120),9.652143847345373e-08,12.337686603263526,60.0,156.0,180.0,4.995827087545877,0,"Failed:
Minimum Power
P2 Latency
Peak Structure",0,,MAX,2,,Coho salmon
60 s,7.312449690516959e-05,13.454342644059432,48.0,72.0,96.0,19.12158785682885,1,Passed,1,,MAX,2,,Coho salmon
120 s,3.464752500069928e-05,13.454342644059432,44.0,72.0,96.0,15.239410082118114,1,Passed,1,,MAX,2,,Coho salmon
180 s,4.159972561993075e-06,13.454342644059432,40.0,68.0,96.0,12.940188360787175,1,Passed,1,,MAX,2,,Coho salmon
240 s,3.0259920471031605e-07,12.337686603263526,40.0,60.0,84.0,2.9815897735417805,1,Passed,1,,MAX,2,,Coho salmon
300 s (114/120),9.652143847345373e-08,12.337686603263526,60.0,156.0,180.0,4.995827087545877,0,"Failed:
Minimum Power
P2 Latency
Peak Structure",0,,MAX,2,,Coho salmon
60 s,7.312449690516959e-05,13.454342644059432,48.0,72.0,96.0,19.12158785682885,1,Passed,1,,MAX,2,,Coho salmon
120 s,3.464752500069928e-05,13.454342644059432,44.0,72.0,96.0,15.239410082118114,1,Passed,1,,MAX,2,,Coho salmon
180 s,4.159972561993075e-06,13.454342644059432,40.0,68.0,96.0,12.940188360787175,1,Passed,1,,MAX,2,,Coho salmon
240 s,3.0259920471031605e-07,12.337686603263526,40.0,60.0,84.0,2.9815897735417805,1,Passed,1,,MAX,2,,Coho salmon
